participant_id,self_response_raw,self_profile,determinant_col,response_raw,response_numeric,determinant_id,determinant_label
PROLIFIC_6990691f5ced735f10ff3bba,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,Cuidadoso/a,peer_pressure_my_investment_decisions_are_influenced_by_the_opinions_of_others_e_g_my_peers_relatives_or_family,0,0,peer_pressure,Presión social
PROLIFIC_6990691f5ced735f10ff3bba,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,Cuidadoso/a,support_i_only_make_an_investment_decision_if_it_fulfils_a_social_need_or_improves_the_society_as_a_whole,55,55,support,Apoyo social
PROLIFIC_6990691f5ced735f10ff3bba,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,Cuidadoso/a,socialising_i_will_only_make_an_investment_decision_if_it_improves_my_possibilities_to_socialise_with_my_peers_and_relatives,15,15,socialising,Socialización
PROLIFIC_6990691f5ced735f10ff3bba,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,Cuidadoso/a,agreement_i_will_only_make_an_investment_decision_if_the_people_affected_by_it_e_g_my_relatives_peers_or_the_community_agree_with_the_decision_cohesively,90,90,agreement,Acuerdo
PROLIFIC_6990691f5ced735f10ff3bba,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,Cuidadoso/a,novelty_i_love_to_test_new_ideas_and_cutting_edge_technology_so_novelty_is_what_drives_my_investment_decisions,16,16,novelty,Novedad
PROLIFIC_6990691f5ced735f10ff3bba,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,Cuidadoso/a,fun_having_fun_is_important_to_me_therefore_i_will_only_make_a_decision_if_it_would_be_enjoyable_and_amusing_for_me,55,55,fun,Diversión
PROLIFIC_6990691f5ced735f10ff3bba,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,Cuidadoso/a,recognition_i_make_investment_decisions_that_lead_to_my_increased_status_and_i_can_show_others_what_i_achieved,0,0,recognition,Reconocimiento
PROLIFIC_6990691f5ced735f10ff3bba,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,Cuidadoso/a,trends_i_usually_follow_the_trends_when_making_a_decision_in_particular_i_usually_find_myself_sticking_to_the_ads_i_see_the_recommendations_of_people_i_admire_or_what_i_read_in_magazines_or_blogs_i_follow,0,0,trends,Tendencias
PROLIFIC_6990691f5ced735f10ff3bba,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,Cuidadoso/a,authority_i_only_make_a_decision_if_it_helps_me_improve_my_position_as_an_expert_on_the_subject_matter,0,0,authority,Autoridad
PROLIFIC_6990691f5ced735f10ff3bba,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,Cuidadoso/a,approval_i_only_make_a_decision_if_it_improves_my_peers_opinions_about_me_even_if_this_decision_is_not_always_what_i_would_do_only_for_myself,0,0,approval,Aprobación
PROLIFIC_6990691f5ced735f10ff3bba,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,Cuidadoso/a,own_significance_i_only_make_a_decision_if_the_action_has_a_personal_inner_meaning_for_me_beyond_any_economic_gain,10,10,own_significance,Significado personal
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,profits_profits_are_what_guide_my_decision_making_i_always_prefer_to_earn_or_save_money_with_every_decision_i_take,87,87,profits,Beneficio económico
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,risk_profile_the_evaluation_of_the_risks_of_my_investment_s_is_what_will_always_guide_my_final_decision,90,90,risk_profile,Perfil de riesgo
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,added_value_i_will_only_invest_if_my_actions_have_an_impact_beyond_the_monetary_gain_losses,51,51,added_value,Valor añadido
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,frugality_i_am_a_thrifty_person_so_i_only_invest_in_actions_that_allow_me_to_reduce_my_cost_impact_expenditures,85,85,frugality,Frugalidad
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,climate_protection_every_decision_i_take_serves_to_foster_the_planet_s_preservation_if_my_choice_might_harm_the_environment_i_will_always_avoid_taking_this_action,90,90,climate_protection,Protección climática
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,legal_having_complete_certainty_that_my_actions_comply_with_the_legal_tax_and_administrative_regulations_are_what_guide_my_actions,88,88,legal,Cumplimiento legal
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,trust_i_only_make_decisions_if_i_trust_all_the_parties_involved_e_g_public_administration_neighbors_and_that_i_trust_the_technology_that_is_needed_to_accomplish_my_goal,77,77,trust,Confianza
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,safety_i_only_make_decisions_if_the_outcome_of_them_ensures_or_improves_my_safety_or_the_ones_of_my_relatives,100,100,safety,Seguridad
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,cost_efficiency_i_always_review_and_assess_the_pros_and_cons_of_my_decisions_looking_for_the_most_cost_effective_option,92,92,cost_efficiency,Eficiencia de costes
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,knowledge_i_do_not_make_a_decision_if_i_do_not_have_enough_knowledge_of_the_subject_matter,82,82,knowledge,Conocimiento
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,own_competence_feeling_that_i_am_competent_to_make_an_investment_is_what_guides_my_decision_making,51,51,own_competence,Competencia propia
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,technical_fit_i_carefully_check_that_the_technology_or_equipment_fits_my_lifestyle_or_the_technical_requirements_before_making_an_investment_decision,88,88,technical_fit,Adecuación técnica
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,environmental_concerns_i_always_review_and_assess_the_pros_and_cons_of_my_decisions_in_relation_to_the_environment_before_making_a_decision,85,85,environmental_concerns,Preocupación ambiental
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,self_satisfaction_i_will_only_make_a_decision_if_i_feel_satisfied_with_the_action_and_the_expected_outcome,80,80,self_satisfaction,Satisfacción personal
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,commitment_i_only_make_a_decision_if_i_feel_personally_committed_to_the_action_and_the_expected_outcome,50,50,commitment,Compromiso
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,adherence_i_will_only_make_a_decision_if_i_feel_that_i_can_sustain_it_throughout_time,86,86,adherence,Adherencia
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,autonomy_self_sufficiency_and_individual_sovereignty_is_what_guide_my_decisions_i_will_only_make_a_decision_if_i_feel_that_the_investment_will_improve_my_control_of_all_circumstances_and_potential_outcomes,80,80,autarky,Autosuficiencia
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,wellbeing_i_will_only_make_a_decision_if_it_improves_my_well_being_or_the_well_being_of_my_relatives,93,93,wellbeing,Bienestar
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,coziness_i_will_only_make_a_decision_if_it_improves_my_comfort_or_the_comfort_of_my_relatives,90,90,coziness,Confort
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,rights_and_duties_i_firmly_believe_that_we_live_in_a_society_where_we_have_to_adhere_to_regulations_laws_and_community_agreements_by_all_means_so_my_investment_decision_has_to_agree_with_this_vision,39,39,rights_and_duties,Derechos y deberes
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,peer_pressure_my_investment_decisions_are_influenced_by_the_opinions_of_others_e_g_my_peers_relatives_or_family,15,15,peer_pressure,Presión social
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,support_i_only_make_an_investment_decision_if_it_fulfils_a_social_need_or_improves_the_society_as_a_whole,51,51,support,Apoyo social
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,socialising_i_will_only_make_an_investment_decision_if_it_improves_my_possibilities_to_socialise_with_my_peers_and_relatives,30,30,socialising,Socialización
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,agreement_i_will_only_make_an_investment_decision_if_the_people_affected_by_it_e_g_my_relatives_peers_or_the_community_agree_with_the_decision_cohesively,19,19,agreement,Acuerdo
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,novelty_i_love_to_test_new_ideas_and_cutting_edge_technology_so_novelty_is_what_drives_my_investment_decisions,24,24,novelty,Novedad
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,fun_having_fun_is_important_to_me_therefore_i_will_only_make_a_decision_if_it_would_be_enjoyable_and_amusing_for_me,51,51,fun,Diversión
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,recognition_i_make_investment_decisions_that_lead_to_my_increased_status_and_i_can_show_others_what_i_achieved,18,18,recognition,Reconocimiento
PROLIFIC_61034f24da19cc56177b8b59,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,trends_i_usually_follow_the_trends_when_making_a_decision_in_particular_i_usually_find_myself_sticking_to_the_ads_i_see_the_recommendations_of_people_i_admire_or_what_i_read_in_magazines_or_blogs_i_follow,0,0,trends,Tendencias
